posicion,variable,descripcion,tipo
0,fecha_hora,Fecha y hora de registro de la respuesta,fecha_hora
1,consentimiento,Aceptación voluntaria para participar,categorica
2,codigo_participante,Código asignado al participante,texto
3,perfil,Perfil declarado dentro del estudio,categorica
4,recibio_terapia,Ha recibido terapia física o rehabilitación,categorica
5,ejercicios_casa,Le han enviado ejercicios para realizar en casa,categorica
6,dificultad_recordar,Dificultad para recordar ejercicios o repeticiones,ordinal_1_5
7,importancia_indicaciones,Importancia de indicaciones claras con imágenes videos o pasos,ordinal_1_5
8,importancia_recordatorios,Importancia de recibir recordatorios,ordinal_1_5
9,dificultad_principal,Dificultad principal al realizar ejercicios en casa,categorica
10,importancia_dolor,Importancia de registrar dolor después del ejercicio,ordinal_1_5
11,importancia_fatiga,Importancia de registrar cansancio o fatiga,ordinal_1_5
12,visualizar_avance,Deseo de visualizar el avance de recuperación,categorica
13,uso_camara,Aceptación del uso de cámara con autorización previa,categorica
14,informacion_privada,Información considerada privada por el participante,texto_multiple
15,acceso_avance,Personas que deberían poder ver el avance terapéutico,categorica
16,info_antes_terapia,Información necesaria antes de iniciar terapia física,texto_multiple
17,info_durante_tratamiento,Información terapéutica importante durante el tratamiento,texto_multiple
18,dificultad_frecuente,Dificultad observada con mayor frecuencia en ejercicios en casa,categorica
19,criterios_ejecucion,Aspectos considerados para evaluar una ejecución correcta,texto_multiple
20,importancia_historial,Importancia de mantener historial organizado del tratamiento,ordinal_1_5
21,indicadores_progreso,Indicadores utilizados para evaluar progreso terapéutico,texto_multiple
22,situaciones_seguimiento,Situaciones importantes de detectar durante seguimiento,texto_multiple
23,contenido_reporte,Información que debería contener un reporte de avance,texto_multiple
24,autorizacion_datos,Importancia de solicitar autorización antes de usar cámara imágenes o datos personales,ordinal_1_5
25,recomendacion,Recomendación adicional para mejorar el seguimiento,texto
