ID_Traza,Fuente,Requisito,Caso_Uso,Clase_UML,Proceso_DFD,Estado,Historia_Usuario,BDD,Caso_Prueba,Prioridad,Estado_Traza
TR-001,EV-CUE-01,RF-01,CU-01,Usuario; Rol,P1,Cuenta: Activa / Inactiva / Bloqueada,HU-01,BDD-01,CP-01,Must,Completa
TR-002,EV-CUE-01,RF-02,CU-09,Administrador; Usuario; Rol,P1,Cuenta: Activa / Inactiva / Bloqueada,HU-02,BDD-02,CP-02,Must,Completa
TR-003,EV-ENT-01,RF-03,CU-02,Paciente; Fisioterapeuta; EvaluacionInicial; SignosVitales; IndicadorClinico,P2,Paciente registrado / Evaluacion inicial completada,HU-03,BDD-03,CP-03,Must,Completa
TR-004,EV-ENT-01,RF-04,CU-02,Paciente; Fisioterapeuta; EvaluacionInicial; SignosVitales; IndicadorClinico,P2,Paciente registrado / Evaluacion inicial completada,HU-04,BDD-04,CP-04,Must,Completa
TR-005,EV-ENT-01,RF-05,CU-02,Paciente; Fisioterapeuta; EvaluacionInicial; SignosVitales; IndicadorClinico,P2,Paciente registrado / Evaluacion inicial completada,HU-05,BDD-05,CP-05,Should,Completa
TR-006,EV-ENT-01,RF-06,CU-02,Paciente; Fisioterapeuta; EvaluacionInicial; SignosVitales; IndicadorClinico,P2,Paciente registrado / Evaluacion inicial completada,HU-06,BDD-06,CP-06,Must,Completa
TR-007,EV-ENT-01,RF-07,CU-02,Paciente; Fisioterapeuta; EvaluacionInicial; SignosVitales; IndicadorClinico,P2,Paciente registrado / Evaluacion inicial completada,HU-07,BDD-07,CP-07,Must,Completa
TR-008,EV-ENT-01,RF-08,CU-02,Paciente; Fisioterapeuta; EvaluacionInicial; SignosVitales; IndicadorClinico,P2,Paciente registrado / Evaluacion inicial completada,HU-08,BDD-08,CP-08,Must,Completa
TR-009,EV-ENT-01,RF-09,CU-02,Paciente; Fisioterapeuta; EvaluacionInicial; SignosVitales; IndicadorClinico,P2,Paciente registrado / Evaluacion inicial completada,HU-09,BDD-09,CP-09,Must,Completa
TR-010,EV-ENT-01,RF-10,CU-02,Paciente; Fisioterapeuta; EvaluacionInicial; SignosVitales; IndicadorClinico,P2,Paciente registrado / Evaluacion inicial completada,HU-10,BDD-10,CP-10,Should,Completa
TR-011,EV-ENT-01,RF-11,CU-02,Paciente; Fisioterapeuta; EvaluacionInicial; SignosVitales; IndicadorClinico,P2,Paciente registrado / Evaluacion inicial completada,HU-11,BDD-11,CP-11,Must,Completa
TR-012,EV-ENT-01,RF-12,CU-02,Paciente; Fisioterapeuta; EvaluacionInicial; SignosVitales; IndicadorClinico,P2,Paciente registrado / Evaluacion inicial completada,HU-12,BDD-12,CP-12,Must,Completa
TR-013,"EV-ENT-01, EV-ENT-02",RF-13,CU-02,Paciente; Fisioterapeuta; EvaluacionInicial; SignosVitales; IndicadorClinico,P2,Paciente registrado / Evaluacion inicial completada,HU-13,BDD-13,CP-13,Should,Completa
TR-014,EV-ENT-01,RF-14,CU-02,Paciente; Fisioterapeuta; EvaluacionInicial; SignosVitales; IndicadorClinico,P2,Paciente registrado / Evaluacion inicial completada,HU-14,BDD-14,CP-14,Should,Completa
TR-015,EV-ENT-02,RF-15,CU-03,Fisioterapeuta; PlanTerapeutico; Rutina; Ejercicio,P3,Plan terapeutico definido,HU-15,BDD-15,CP-15,Must,Completa
TR-016,EV-ENT-02,RF-16,CU-03,Fisioterapeuta; PlanTerapeutico; Rutina; Ejercicio,P3,Plan terapeutico definido,HU-16,BDD-16,CP-16,Must,Completa
TR-017,"EV-ENT-01, EV-ENT-02",RF-17,CU-04,Fisioterapeuta; Paciente; Rutina; EjercicioAsignado; Ejercicio; Notificacion,P4,Rutina asignada,HU-17,BDD-17,CP-17,Must,Completa
