ID,Ley,Articulo,Objetivo,Stakeholder,Evidencia,Requisito,Caso_Uso,Historia_Usuario,Criterio_Aceptacion,Componente,Mockup,Prioridad,Estado
TR-001,LOPDP,"Arts. 10, 12, 16, 25 y 40",OBJ-01 Control y seguimiento terapéutico,Usuario autorizado,EV2-ENT-01; WALK-TEC-01,RF-01 - Autenticar usuarios,CU-01,HU-01,CA-01.1,CMP-01 Autenticación,MU-01 Inicio de sesión,Must | Básico | WSJF 10.00,Validado e implementado en MVP
TR-002,LOPDP,"Arts. 10, 12, 16, 25 y 40",OBJ-01 Control y seguimiento terapéutico,Administrador,EV2-ENT-01; WALK-TEC-01,RF-02 - Gestionar roles y permisos,CU-01,HU-02,CA-02.1,CMP-01 Autenticación y permisos,MU-03 Dashboard,Must | Básico | WSJF 10.00,Validado e implementado en MVP
TR-003,LOPDP,"Arts. 10, 12, 16, 25 y 40",OBJ-01 Control y seguimiento terapéutico,Fisioterapeuta,DOC-01; EV2-ENT-01,RF-03 - Registrar datos generales del paciente,CU-02,HU-03,CA-03.1,CMP-02 Gestión de pacientes,MU-04 Registro de paciente,Must | Básico | WSJF 9.33,Validado e implementado en MVP
TR-004,,,OBJ-01 Control y seguimiento terapéutico,Fisioterapeuta,DOC-01; EV2-ENT-01,RF-04 - Registrar motivo de consulta,CU-02,HU-04,CA-04.1,CMP-02 Gestión de pacientes,MU-04 Registro de paciente,Must | Básico | WSJF 8.67,Validado e implementado en MVP
TR-005,LOPDP,"Arts. 10, 12, 16, 25 y 40",OBJ-01 Control y seguimiento terapéutico,Fisioterapeuta,DOC-01; EV2-ENT-01,RF-05 - Registrar antecedentes terapéuticos,CU-02,HU-05,CA-05.1,CMP-02 Gestión de pacientes,MU-05 Evaluación inicial,Must | Básico | WSJF 8.67,Validado e implementado en MVP
TR-006,,,OBJ-01 Control y seguimiento terapéutico,Fisioterapeuta,EV2-ENT-01,RF-06 - Clasificar condición clínica,CU-02,HU-06,CA-06.1,CMP-03 Evaluación terapéutica,MU-05 Evaluación inicial,Should | Desempeño | WSJF 5.50,Validado
TR-007,,,OBJ-01 Control y seguimiento terapéutico,Fisioterapeuta,EV2-ENT-01,RF-07 - Clasificar nivel de gravedad,CU-02,HU-07,CA-07.1,CMP-03 Evaluación terapéutica,MU-05 Evaluación inicial,Should | Desempeño | WSJF 5.50,Validado
TR-008,,,OBJ-01 Control y seguimiento terapéutico,Fisioterapeuta,DOC-01; WALK-TEC-02,RF-08 - Registrar signos vitales,CU-02,HU-08,CA-08.1,CMP-03 Evaluación terapéutica,MU-05 Evaluación inicial,Must | Básico | WSJF 8.67,Validado e implementado en MVP
TR-009,,,OBJ-01 Control y seguimiento terapéutico,Fisioterapeuta,DOC-01; WALK-TEC-02,RF-09 - Registrar rangos de movimiento,CU-02,HU-09,CA-09.1,CMP-03 Evaluación terapéutica,MU-05 Evaluación inicial,Must | Básico | WSJF 5.20,Validado e implementado en MVP
TR-010,,,OBJ-01 Control y seguimiento terapéutico,Fisioterapeuta,DOC-02; WALK-TEC-02,RF-10 - Registrar pruebas terapéuticas,CU-02,HU-10,CA-10.1,CMP-03 Evaluación terapéutica,MU-05 Evaluación inicial,Must | Básico | WSJF 5.20,Validado e implementado en MVP
