id_requisito,claridad,completitud,verificabilidad,trazabilidad,consistencia
RF-01,1,1,1,1,1
RF-02,1,1,1,1,1
RF-03,1,1,1,1,1
RF-04,1,1,1,1,1
RF-05,1,1,1,1,1
RF-06,1,1,1,1,1
RF-07,1,1,1,1,1
RF-08,1,1,1,1,1
RF-09,1,1,1,1,1
RF-10,1,1,1,1,1
RF-11,1,1,1,1,1
RF-12,1,1,1,1,1
RF-13,1,1,1,1,1
RF-14,1,1,1,1,1
RF-15,1,1,1,1,1
RF-16,1,1,1,1,1
RF-17,1,1,1,1,1
RF-18,1,1,1,1,1
RF-19,1,1,1,1,1
RF-20,1,0,1,1,1
RF-21,1,0,1,1,1
RF-22,1,1,1,1,1
RF-23,1,1,1,1,1
RF-25,1,0,1,1,1
RF-25,1,1,1,1,1
RF-26,1,1,1,1,1
RF-27,1,1,1,1,1
RF-28,1,1,1,1,1
RF-29,1,1,1,1,1
RF-30,1,0,1,1,1
RF-31,1,1,1,1,1
RF-32,1,1,1,1,1
RF-33,1,1,1,1,1
