archivo_antiguo_repositorio,archivo_canonico_PE5,pantalla
Captura de pantalla 2026-06-28 134133.png,MU-01_Inicio_Sesion.png,Inicio de sesión
Captura de pantalla 2026-06-28 134140.png,MU-02_Recuperacion_Contrasena.jpeg,Recuperación de contraseña
Captura de pantalla 2026-06-28 134144.png,MU-03_Dashboard_Fisioterapeuta.jpeg,Dashboard del fisioterapeuta
Captura de pantalla 2026-06-28 134150.png,MU-04_Registro_Paciente.png,Registro de paciente
Captura de pantalla 2026-06-28 134154.png,MU-05_Evaluacion_Inicial_Signos_Vitales.jpeg,Evaluación inicial y signos vitales
Captura de pantalla 2026-06-28 134200.png,MU-06_Catalogo_Ejercicios.png,Catálogo de ejercicios
Captura de pantalla 2026-06-28 134321.png,MU-07_Asignacion_Rutina_Terapeutica.png,Asignación de rutina terapéutica
Captura de pantalla 2026-06-28 134325.png,MU-08_Panel_Paciente.png,Panel del paciente
Captura de pantalla 2026-06-28 134330.png,MU-09_Ejecucion_Camara_IA.png,Ejecución con cámara e IA
Captura de pantalla 2026-06-28 134335.png,MU-10_Retroalimentacion_Reporte_Administracion.jpeg,"Retroalimentación, reporte y administración"
