"codigo","tipo","archivo","ruta_relativa","duracion_segundos","formato","codec_video","codec_audio","tamano_bytes","sha256"
"EV2-PAC-01_Entrevista","Audio","EV2-PAC-01_Entrevista.mp3","02_Audios_Originales\EV2-PAC-01_Entrevista.mp3","285,91","mp3","","mp3","4575306","3888a1fb169e179f80cd556edfd9f434590ab0b32753f6d174c6921ccffb4fc9"
"EV2-PAC-03_Entrevista","Audio","EV2-PAC-03_Entrevista.mp3","02_Audios_Originales\EV2-PAC-03_Entrevista.mp3","257,34","mp3","","mp3","4118346","92ca6a826eb98518f3e571055b66b54a9f3892addf532a7f6d2ba5aa71469b4f"
"EV2-PAC-04_Entrevista","Audio","EV2-PAC-04_Entrevista.mp3","02_Audios_Originales\EV2-PAC-04_Entrevista.mp3","444,86","mp3","","mp3","7118538","0288ed21212bbcfedc198e724221c046adfed0e8467825b5664e25d119788db0"
"EV2-PAC-05_Entrevista","Audio","EV2-PAC-05_Entrevista.m4a","02_Audios_Originales\EV2-PAC-05_Entrevista.m4a","788,52","mov,mp4,m4a,3gp,3g2,mj2","","aac","8154941","759c9ddf94af2cf31f5c3281b903b7d8be19a95eb0dc3214948392aba0f2e712"
"EV2-PAC-06_Entrevista","Audio","EV2-PAC-06_Entrevista.m4a","02_Audios_Originales\EV2-PAC-06_Entrevista.m4a","735,04","mov,mp4,m4a,3gp,3g2,mj2","","aac","7539804","e46da5178a62a53a2afa72d6598e320b1e7323fcaaa278b16997d562e3b1ab5a"
"EV2-PAC-07_Entrevista","Audio","EV2-PAC-07_Entrevista.m4a","02_Audios_Originales\EV2-PAC-07_Entrevista.m4a","565,76","mov,mp4,m4a,3gp,3g2,mj2","","aac","5758033","1726f0955de3aa04355f8f437b677daf1d1cd80ea88afa151954825140ccec02"
"EV2-PAC-08_Entrevista","Audio","EV2-PAC-08_Entrevista.m4a","02_Audios_Originales\EV2-PAC-08_Entrevista.m4a","600,41","mov,mp4,m4a,3gp,3g2,mj2","","aac","6154346","1b4428109ce710c79eff5a0cf87a11036e6c542e2358d23415ac3b4b9e995e9f"
"EV2-PAC-09_Entrevista","Audio","EV2-PAC-09_Entrevista.m4a","02_Audios_Originales\EV2-PAC-09_Entrevista.m4a","456,6","mov,mp4,m4a,3gp,3g2,mj2","","aac","4699552","6936c02f53aaaeee8a48f4ae7d366a3002af0a71dd07f4bb4b5fbdb2deae5858"
"EV2-PAC-16_Entrevista","Audio","EV2-PAC-16_Entrevista.mp3","02_Audios_Originales\EV2-PAC-16_Entrevista.mp3","444,86","mp3","","mp3","7118538","0288ed21212bbcfedc198e724221c046adfed0e8467825b5664e25d119788db0"
"EVA2-PAC-10_Entrevista","Audio","EVA2-PAC-10_Entrevista.mp3","02_Audios_Originales\EVA2-PAC-10_Entrevista.mp3","193,79","mp3","","mp3","3101851","0b3d4fb9e2ea5bae9e5989d8d4a4b752e25de785542b9598b8545b4a0053d805"
"EVA2-PAC-11_Entrevista.","Audio","EVA2-PAC-11_Entrevista..mp3","02_Audios_Originales\EVA2-PAC-11_Entrevista..mp3","219,45","mp3","","mp3","3512287","6007ffd803e3eb6ebfacd6d43e8ce3777e6ce02233d4eb819e0aac306922228d"
"EVA2-PAC-12_Entrevista","Audio","EVA2-PAC-12_Entrevista.mp3","02_Audios_Originales\EVA2-PAC-12_Entrevista.mp3","218,31","mp3","","mp3","3494314","da99fd6b63fea6627f4af0311921bb735f68f9bf9012263abeb45411c34b9eda"
"EVA2-PAC-13_Entrevista.","Audio","EVA2-PAC-13_Entrevista..mp3","02_Audios_Originales\EVA2-PAC-13_Entrevista..mp3","220,24","mp3","","mp3","3525243","e23836ede61fb97df583c44439184842629ab437ea9ac248a88845fea1f25fda"
"EVA2-PAC-14_Entrevista","Audio","EVA2-PAC-14_Entrevista.mp3","02_Audios_Originales\EVA2-PAC-14_Entrevista.mp3","28,24","mp3","","mp3","452825","fbeda90aec688e35fb8df099a4acde870ef38490b5d83bc54193a0eecdd98a8f"
"WALK-NTEC-01_Entrevista","Audio","WALK-NTEC-01_Entrevista.mp3","02_Audios_Originales\WALK-NTEC-01_Entrevista.mp3","237,08","mp3","","mp3","3794250","cfed57e8330149f3cc3af4fd013ff4b1c19ed24955da4028f34fac0fae810477"
"WALK-TEC-01_Entrevista","Audio","WALK-TEC-01_Entrevista.mp3","02_Audios_Originales\WALK-TEC-01_Entrevista.mp3","1072,04","mp3","","mp3","17153610","8d8074415936d2208a3fa6d0d802d1e8886d1522671ff1b0d9e86737ee0c344d"
"EV2-PAC-01_Entrevista","Video","EV2-PAC-01_Entrevista.mp4","03_Videos_Originales\EV2-PAC-01_Entrevista.mp4","285,92","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","61370351","d9080bff56c21fb7ba5e1bd0485e05f5dfcf56602a5dff882fd7cef37cf7410f"
"EV2-PAC-01_Walktrough","Video","EV2-PAC-01_Walktrough.mp4","03_Videos_Originales\EV2-PAC-01_Walktrough.mp4","126,16","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","27088631","161fb39e995eed543a13f4fc56fb1aec78875311be930fb800f56cec160995de"
"EV2-PAC-03_Entrevista","Video","EV2-PAC-03_Entrevista.mp4","03_Videos_Originales\EV2-PAC-03_Entrevista.mp4","257,35","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","54294746","4e5a2f93e387cf9d45bcf31453190b1f4ed8b45b3436139b78cf6495d9d6ef34"
"EV2-PAC-03_Walkthrough","Video","EV2-PAC-03_Walkthrough.mp4","03_Videos_Originales\EV2-PAC-03_Walkthrough.mp4","207,12","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","44470938","65139870c71c1b8c1e05b95cef4a725cb873fbcaf4ab6e33d7b147256e210401"
"EV2-PAC-04_Entrevista","Video","EV2-PAC-04_Entrevista.mp4","03_Videos_Originales\EV2-PAC-04_Entrevista.mp4","444,86","mov,mp4,m4a,3gp,3g2,mj2","h264","aac","95316582","1aec08f27a05e89a0d151486ef15602a3fd1fa5de4d6733b42a4c1bf84c4cd7f"
