"Marca temporal","1. Acepta participar voluntariamente en este cuestionario con fines academicos?","2. Codigo del participante asignado por el entrevistador","3. Cual es su perfil dentro del estudio?","4. Ha recibido usted o la persona que cuida terapia fisica o rehabilitacion?","5. Le han enviado ejercicios para realizar en casa?","6. Que tan dificil le resulta recordar como hacer los ejercicios o cuantas repeticiones realizar?","7. Que tan importante seria recibir indicaciones claras con imagenes, videos o pasos sencillos?","8. Que tan importante seria recibir recordatorios para cumplir los ejercicios?","9. Cual ha sido o seria la dificultad principal al realizar ejercicios en casa?","10. Que tan importante seria registrar dolor despues de realizar ejercicios?","11. Que tan importante seria registrar cansancio o fatiga despues de realizar ejercicios?","12. Le gustaria ver el avance de la recuperacion de forma sencilla?","13. Aceptaria el uso de camara para revisar ejercicios si primero se solicita autorizacion?","14. Que informacion considera mas privada y debe protegerse?","15. Quien deberia poder ver el avance terapeutico?","4. Que informacion considera necesaria antes de iniciar una terapia fisica?","5. Que informacion terapeutica considera importante registrar durante el tratamiento?","6. Cual dificultad observa con mayor frecuencia cuando el paciente realiza ejercicios en casa?","7. Que aspectos toma en cuenta para saber si un ejercicio fue realizado correctamente?","8. Que tan importante considera mantener un historial organizado del tratamiento y evolucion del paciente?","9. Que indicadores utiliza o considera utiles para evaluar el progreso terapeutico?","10. Que situaciones considera importantes de detectar o atender durante el seguimiento terapeutico?","11. Que informacion deberia contener un reporte de avance terapeutico?","12. Que tan importante considera solicitar autorizacion antes de usar camara, imagenes o datos personales del paciente?","13. Desea agregar alguna recomendacion para mejorar el seguimiento de pacientes en terapia fisica?"
"2026/07/23 9:38:20 p.m. GMT-5","Si, acepto participar.","EV2-ENT-01","Fisioterapeuta","","","","","","","","","","","","","Datos personales basicos;Motivo de terapia;Antecedentes relevantes;Nivel de dolor inicial;Movilidad o limitacion fisica;Tratamientos previos","Ejercicios asignados;Series y repeticiones;Dolor reportado;Fatiga o cansancio;Cumplimiento de la rutina;Observaciones de evolucion;Errores frecuentes;Cambios en la rutina","No cumple la rutina","Postura;Dolor durante el ejercicio","5","Disminucion del dolor;Mejora de movilidad;Cumplimiento de ejercicios;Reduccion de fatiga","Dolor elevado;Fatiga excesiva;Ejecucion incorrecta del ejercicio;Riesgo de lesion","Rutinas asignadas;Dolor registrado;Observaciones del fisioterapeuta","5","Que sea de fácil acceso para todas las edades"
"2026/07/26 4:41:41 p.m. GMT-5","Si, acepto participar.","EV2-PAC-05","Paciente o ex paciente de terapia fisica","Si","Si","3","5","5","No saber si realiza bien el ejercicio","5","4","Si","Si, pero solo con autorizacion previa","Datos personales;Imagenes o videos;Historial de terapia;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/07/26 7:51:12 p.m. GMT-5","Si, acepto participar.","EV2-PAC-06","Paciente o ex paciente de terapia fisica","No","Si","5","5","5","Olvidar los ejercicios","5","5","Si","Si, pero solo con autorizacion previa","Datos personales;Imagenes o videos;Datos de contacto","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/07/26 9:15:30 p.m. GMT-5","Si, acepto participar.","EV2-PAC-07","Paciente o ex paciente de terapia fisica","Si","Si","3","4","3","Olvidar los ejercicios","3","3","Si","Tal vez","Datos personales","El paciente y el fisioterapeuta","","","","","","","","","",""
"2026/07/26 9:38:16 p.m. GMT-5","Si, acepto participar.","EV2-PAC-08","Paciente o ex paciente de terapia fisica","Si","A veces","3","3","3","No saber si realiza bien el ejercicio","3","3","Tal vez","Tal vez","Datos personales","El paciente y el fisioterapeuta","","","","","","","","","",""
"2026/07/29 1:20:11 a.m. GMT-5","Si, acepto participar.","EV2-ENT-01","Fisioterapeuta","","","","","","","","","","","","","Motivo de terapia;Antecedentes relevantes;Nivel de dolor inicial;Movilidad o limitacion fisica;Tratamientos previos","Ejercicios asignados;Series y repeticiones;Dolor reportado;Fatiga o cansancio;Cumplimiento de la rutina;Errores frecuentes","No cumple la rutina","Postura;Numero de repeticiones;Dolor durante el ejercicio;Cumplimiento de indicaciones","5","Disminucion del dolor;Mejora de movilidad;Reduccion de fatiga;Mejora de postura o tecnica;Observaciones del paciente","Dolor elevado;Incumplimiento de rutina;Ejecucion incorrecta del ejercicio;Falta de progreso","Rutinas asignadas;Rutinas cumplidas;Dolor registrado;Observaciones del fisioterapeuta;Alertas o incidencias","4","Que sea de fácil acceso para todas las edades "
"2026/08/01 11:28:03 a.m. GMT-5","Si, acepto participar.","EV2-PAC-10","Paciente o ex paciente de terapia fisica","Si","Si","4","5","5","Falta de ayuda o supervision","5","5","Si","Si, pero solo con autorizacion previa","Datos personales","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/01 12:23:25 p.m. GMT-5","Si, acepto participar.","EVA2-PAC-12","Paciente o ex paciente de terapia fisica","Si","Si","4","5","5","Falta de ayuda o supervision","5","5","Si","Si, pero solo con autorizacion previa","Datos personales","El paciente, el fisioterapeuta y un familiar autorizado","","","","","","","","","",""
"2026/08/01 12:40:28 p.m. GMT-5","Si, acepto participar.","EV2-PAC-11","Fisioterapeuta","","","","","","","","","","","","","Nivel de dolor inicial","Ejercicios asignados","No tiene supervision","Postura;Rango de movimiento;Tiempo de ejecucion","5","Disminucion del dolor;Mejora de movilidad;Mejora de postura o tecnica;Observaciones del paciente","Dolor elevado;Fatiga excesiva;Ejecucion incorrecta del ejercicio;Riesgo de lesion","Rutinas cumplidas;Evolucion del paciente","5","No"
"2026/08/01 1:10:33 p.m. GMT-5","Si, acepto participar.","EV2-PAC-14","Paciente o ex paciente de terapia fisica","Si","A veces","4","4","5","No saber si realiza bien el ejercicio","4","5","Si","Si","Datos de contacto","Solo el paciente","","","","","","","","","",""
