codigo_evidencia,tipo,archivo_origen,ruta_restringida,publicacion_texto_completo,justificacion
EV2-PAC-01,Walkthrough,EV2-PAC-01_Transcripción_Walkthrough.pdf,Entrevistas/EV2-PAC-01/EV2-PAC-01_Transcripción_Walkthrough.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-03,Walkthrough,EV2-PAC-03_Transcripción_Walkthrough.pdf,Entrevistas/EV2-PAC-03/EV2-PAC-03_Transcripción_Walkthrough.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-04,Entrevista,EV2-PAC-04_Transcripción_Entrevista.docx,Entrevistas/EV2-PAC-04/EV2-PAC-04_Transcripción_Entrevista.docx,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-05,Walkthrough,Transcripcion_Video_ACTA WALKTHROUGH_EV2-PAC-05_Arreglado.pdf,Entrevistas/EV2-PAC-05/Transcripcion_Video_ACTA WALKTHROUGH_EV2-PAC-05_Arreglado.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-05,Entrevista,Transcripcion_Video_Entrevista_Consentimiento_EV2-PAC-05_Arreglado.pdf,Entrevistas/EV2-PAC-05/Transcripcion_Video_Entrevista_Consentimiento_EV2-PAC-05_Arreglado.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-06,Walkthrough,Transcripcion_Video_ACTA WALKTHROUGH_EV2-PAC-06_Arreglado.pdf,Entrevistas/EV2-PAC-06/Transcripcion_Video_ACTA WALKTHROUGH_EV2-PAC-06_Arreglado.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-06,Entrevista,Transcripcion_Video_Entrevista_Consentimiento_EV2-PAC-06_Arreglado.pdf,Entrevistas/EV2-PAC-06/Transcripcion_Video_Entrevista_Consentimiento_EV2-PAC-06_Arreglado.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-07,Walkthrough,Transcripcion_Video_ACTA WALKTHROUGH_EV2-PAC-07_Arreglado.pdf,Entrevistas/EV2-PAC-07/Transcripcion_Video_ACTA WALKTHROUGH_EV2-PAC-07_Arreglado.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-07,Entrevista,Transcripcion_Video_Entrevista_Consentimiento_EV2-PAC-07_Arreglado.pdf,Entrevistas/EV2-PAC-07/Transcripcion_Video_Entrevista_Consentimiento_EV2-PAC-07_Arreglado.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
EV2-PAC-08,Entrevista,Transcripcion_Video_Entrevista_Consentimiento_EV2-PAC-08_Arreglado.pdf,Entrevistas/EV2-PAC-08/Transcripcion_Video_Entrevista_Consentimiento_EV2-PAC-08_Arreglado.pdf,No,El texto completo permanece en zona restringida para proteger datos personales; el dataset público conserva metadatos anonimizados.
