codigo,categoria_padre,subtema,definicion
SUB-01,Adherencia,Adherencia y recordatorios,"Dificultades para mantener la constancia o cumplir rutinas y horarios; uso o necesidad de alarmas, calendarios y recordatorios."
SUB-02,Comprensión,Instrucciones y dosificación,"Información sobre series, repeticiones, frecuencia, duración, descansos, carga u orden de los ejercicios."
SUB-03,Comprensión,Apoyo audiovisual,"Uso o necesidad de videos, imágenes o audio para explicar y comprender la ejecución de los ejercicios."
SUB-04,Corrección,Supervisión y corrección de ejecución,"Dificultades o necesidades relacionadas con comprobar y corregir postura, movimiento, velocidad, respiración o técnica durante los ejercicios."
SUB-05,Seguridad clínica,Registro de dolor y fatiga,"Necesidad de registrar dolor, cansancio, esfuerzo percibido, fatiga o dificultad antes, durante o después de una rutina."
SUB-06,Seguimiento,Seguimiento del progreso,"Necesidad de consultar o comparar la evolución mediante registros de cumplimiento, síntomas, movilidad, capacidad funcional u otros indicadores del tratamiento."
SUB-07,Seguimiento,Comunicación con fisioterapeuta,"Necesidad de enviar consultas, mensajes, observaciones o recibir retroalimentación del fisioterapeuta entre sesiones."
SUB-08,Privacidad,Privacidad de cámara y datos,"Condiciones, preferencias o preocupaciones sobre activación de cámara, grabación, almacenamiento, uso y protección de imágenes o información personal y clínica."
SUB-09,Privacidad,Acceso familiar autorizado,"Necesidad de definir qué familiares, cuidadores o terceros pueden consultar información o recibir avisos y qué datos pueden compartirse con autorización del paciente."
SUB-10,Seguridad clínica,Seguridad y señales de alarma,"Descripción de riesgos o señales que requieren detener el ejercicio, solicitar ayuda o revisión profesional, como dolor intenso, caídas, mareos o sobreesfuerzo."
SUB-11,Comprensión,Accesibilidad y facilidad de uso,"Necesidad de facilitar el uso mediante lenguaje comprensible, letras legibles, botones claros, navegación sencilla o alternativas adecuadas a las capacidades del usuario."
SUB-12,Seguimiento,Organización centralizada,"Necesidad de reunir rutinas, instrucciones, registros y seguimiento en un mismo medio para evitar información dispersa."
SUB-13,Gobernanza de IA,Control profesional de las decisiones,"Necesidad de que el fisioterapeuta conserve la decisión clínica y revise las sugerencias del sistema antes de modificar tratamientos, ejercicios o cargas."
SUB-14,Gobernanza de IA,Explicabilidad e incertidumbre,"Necesidad de comprender las razones y los datos que sustentan una recomendación automatizada, así como sus límites o incertidumbre."
SUB-15,Gestión del plan,Vigencia y versiones de rutinas,"Dificultad para distinguir instrucciones actuales de anteriores o necesidad de identificar la rutina vigente, su fecha de actualización y los cambios realizados."
SUB-16,Alertas,Priorización y frecuencia de avisos,"Necesidad de distinguir alertas urgentes de avisos informativos, definir cuándo notificar al paciente o familiar y evitar notificaciones excesivas."
SUB-17,Privacidad,Revocación y gestión de permisos,"Necesidad de consultar, modificar, revocar o establecer vencimiento a permisos de acceso, así como conocer quién accedió a la información."
