Defecto_ID,Elemento,Severidad,Estado,Evidencia_Cierre
D-01,RF-28,Mayor,Cerrado,"Umbrales de alerta definidos: rutina vencida, EVA >= 7, Borg CR10 >= 7 y umbral configurado de repeticiones incorrectas."
D-02,RNF-07,Mayor,Cerrado,"Disponibilidad definida por ventana de prueba declarada y cálculo reproducible."
D-03,RF-15/RF-06/RF-07,Mayor,Cerrado,"RF-06 y RF-07 armonizados como Must respecto de RF-15."
D-04,RNF-11,Menor,Cerrado,"Contraste mínimo 4,5:1 para texto normal."
D-05,EV-*/EV2-*,Mayor,Cerrado,"Correspondencia histórica de evidencias documentada."
D-06,RNF-03,Mayor,Cerrado,"Entorno de referencia documentado para medir FPS."
D-07,RF-19/RF-18,Mayor,Cerrado,"RF-18 armonizado como Must."
D-08,EV-ENT-04,Mayor,Cerrado,"EV-ENT-04 eliminado como fuente independiente inconsistente."
D-09,RNF-10,Menor,Cerrado,"Siete módulos principales enumerados y método de verificación definido."
D-10,RNF-01,Mayor,Cerrado,"Muestra mínima de 10 usuarios: al menos 3 fisioterapeutas y 7 pacientes/expacientes."
D-11,RF-24/RF-22,Mayor,Cerrado,"RF-22 armonizado como Must."
D-12,RF-25,Menor,Cerrado,"Retroalimentación verificable con ejercicio, error detectado y acción/corrección sugerida."
D-13,RF-22/RF-23/RF-24,Mayor,Cerrado,"Fuente armonizada a EV-ENT-03."
D-14,RF-21,Mayor,Cerrado,"Análisis acotado a ejercicios compatibles y patrón configurado."
D-15,RF-14,Mayor,Cerrado,"Relación armonizada con CU-02."
D-16,RNF-09,Menor,Cerrado,"Compatibilidad alineada con Chrome, Edge y Firefox."
