ID_RF,Requisito,MoSCoW_PE5,Kano_2A,Valor_Negocio_2A,Urgencia_2A,Riesgo_2A,Esfuerzo_2A,WSJF_2A,Nota
RF-01,Autenticar usuarios,Must,Básico,10,10,10,3,10.00,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-02,Gestionar roles y permisos,Must,Básico,10,10,10,3,10.00,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-03,Registrar datos generales del paciente,Must,Básico,10,10,8,3,9.33,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-04,Registrar motivo de consulta,Must,Básico,9,9,8,3,8.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-05,Registrar antecedentes terapéuticos,Should,Básico,9,9,8,3,8.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-06,Clasificar condición clínica,Must,Desempeño,8,7,7,4,5.50,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-07,Clasificar nivel de gravedad,Must,Desempeño,8,7,7,4,5.50,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-08,Registrar signos vitales,Must,Básico,9,9,8,3,8.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-09,Registrar rangos de movimiento,Must,Básico,9,9,8,5,5.20,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-10,Registrar pruebas terapéuticas,Should,Básico,9,9,8,5,5.20,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-11,Registrar nivel de dolor,Must,Básico,9,9,8,3,8.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-12,Registrar nivel de fatiga,Must,Básico,9,9,8,3,8.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-13,Registrar capacidad funcional,Should,Básico,9,9,8,3,8.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-14,Registrar observaciones por sesión,Should,Básico,9,9,8,3,8.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-15,Crear plan terapéutico personalizado,Must,Básico,10,9,8,5,5.40,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-16,Gestionar catálogo de ejercicios,Must,Desempeño,9,9,8,5,5.20,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-17,Asignar rutina terapéutica,Must,Básico,10,9,8,5,5.40,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-18,Mostrar guías visuales,Must,Desempeño,9,9,8,5,5.20,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-19,Iniciar sesión remota de ejercicios,Must,Desempeño,8,7,7,4,5.50,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-20,Capturar movimiento con cámara,Must,Básico,10,10,10,5,6.00,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-21,Analizar movimiento del paciente,Must,Desempeño,8,7,7,6,3.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-22,Detectar errores de postura,Must,Desempeño,8,7,7,6,3.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-23,Contar repeticiones correctas,Must,Desempeño,8,7,7,6,3.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-24,Rechazar repeticiones incorrectas,Must,Desempeño,8,7,7,6,3.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-25,Generar retroalimentación automática,Should,Atractivo,8,7,7,6,3.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-26,Registrar evidencia de cumplimiento,Must,Básico,9,9,8,3,8.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-27,Visualizar progreso terapéutico,Must,Desempeño,9,9,8,3,8.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-28,Generar alertas terapéuticas,Should,Básico,10,10,10,5,6.00,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-29,Generar recomendaciones de seguimiento,Could,Desempeño,8,7,7,4,5.50,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-30,Generar reportes del tratamiento,Should,Básico,10,9,8,5,5.40,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-31,Enviar recordatorios automáticos,Should,Básico,9,9,8,3,8.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-32,Consultar avance autorizado,Could,Atractivo,6,4,4,3,4.67,"MoSCoW sincronizado con la matriz final PE5; Kano, valor, urgencia, riesgo, esfuerzo y WSJF se conservan como evaluación histórica 2A."
RF-33,Gestionar estado y escalamiento de alertas terapéuticas,Should,,,,,,,RF-33 fue incorporado por RFC-01 / CCB PE4 después de la priorización 2A; no se inventan valores históricos de Kano/WSJF.
